ID,stage,Batch
1,24h,Batch1
2,24h,Batch1
3,24h,Batch1
4,24h,Batch1
5,24h,Batch1
6,24h,Batch3
7,48h,Batch3
8,24h,Batch3
9,24h,Batch3
10,24h,Batch3
11,24h,Batch3
12,24h,Batch3
13,24h,Batch3
14,48h,Batch3
15,48h,Batch3
16,48h,Batch3
17,48h,Batch3
18,48h,Batch3
19,48h,Batch3
20,48h,Batch3
21,48h,Batch3
22,48h,Batch3
23,48h,Batch3
24,24h,Batch4
25,24h,Batch4
26,24h,Batch4
27,24h,Batch4
28,24h,Batch4
29,48h,Batch4
30,48h,Batch4
31,48h,Batch4
32,48h,Batch4
33,48h,Batch4
34,48h,Batch4
35,48h,Batch5
36,48h,Batch5
37,48h,Batch5
38,48h,Batch5
39,48h,Batch5
40,48h,Batch5
41,48h,Batch5
42,48h,Batch5
43,48h,Batch5
44,24h,Batch5
45,24h,Batch5
46,24h,Batch6
47,48h,Batch6
48,48h,Batch6
49,48h,Batch6
50,48h,Batch6
51,48h,Batch6
52,48h,Batch6
53,48h,Batch6
54,48h,Batch6
55,24h,Batch6
56,24h,Batch6
57,24h,Batch6
58,24h,Batch6
59,24h,Batch6
60,24h,Batch6
61,48h,Batch7
62,48h,Batch7
63,48h,Batch7
64,48h,Batch7
65,48h,Batch7
66,48h,Batch7
67,48h,Batch7
68,48h,Batch7
69,24h,Batch7
70,24h,Batch7
71,24h,Batch7
72,24h,Batch7
73,24h,Batch7
74,24h,Batch7
75,24h,Batch7
76,24h,Batch7
